machine_id,production_date,units_produced,energy_kwh,defect_count,operator,shift
machine-1,2024-11-01,120,345.2,3,Alice,morning
machine-2,2024-11-01,98,289.1,1,Bob,morning
machine-3,2024-11-01,150,402.8,5,Charlie,afternoon
machine-4,2024-11-01,80,198.4,0,Diana,afternoon
machine-5,2024-11-01,110,312.6,2,Eve,night
machine-1,2024-11-02,115,338.0,2,Alice,morning
machine-2,2024-11-02,102,295.7,1,Bob,morning
machine-3,2024-11-02,145,395.3,4,Charlie,afternoon
machine-4,2024-11-02,85,205.1,1,Diana,afternoon
machine-5,2024-11-02,108,308.9,3,Eve,night
machine-1,2024-11-03,125,352.4,4,Alice,morning
machine-2,2024-11-03,95,280.3,0,Bob,morning
machine-3,2024-11-03,155,410.1,6,Charlie,afternoon
machine-4,2024-11-03,78,190.8,1,Diana,afternoon
machine-5,2024-11-03,112,318.2,2,Eve,night
machine-1,2024-11-04,130,360.5,3,Alice,morning
machine-2,2024-11-04,,292.0,1,Bob,morning
machine-3,2024-11-04,148,398.7,5,Charlie,afternoon
machine-4,2024-11-04,82,201.3,0,Diana,afternoon
machine-5,2024-11-04,105,305.4,-1,Eve,night
machine-1,2024-11-05,118,340.1,2,Alice,morning
machine-2,2024-11-05,100,288.5,1,Bob,morning
machine-3,2024-11-05,152,405.9,4,Charlie,afternoon
machine-4,2024-11-05,88,210.7,1,Diana,afternoon
machine-5,2024-11-05,111,315.3,3,Eve,night
machine-1,2024-11-01,120,345.2,3,Alice,morning
